Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
İzmir Atatürk Stadyumu,"51,295",West Asia,Turkey,İzmir,,"Altay SK,Göztepe AŞ"
Stadion Feijenoord,"51,117",Europe,Netherlands,Rotterdam,,Feyenoord
Estadio BBVA,"51,000[54]",North America,Mexico,Monterrey,,CF Monterrey
Ghadir Stadium,"51,000",West Asia,Iran,Ahvaz,,Foolad FC
Estádio José Pinheiro Borda,"50,942",South America,Brazil,Porto Alegre.Rio Grande do Sul,,SC Internacional
Ibrox Stadium,"50,817[55]",Europe,Scotland,Glasgow,,Rangers FC
Shizuoka Stadium,"50,889[56]",East Asia,Japan,"Fukuroi, Shizuoka",,"Júbilo Iwata,Shimizu S-Pulse,Shizuoka Blue Revs"
Ernst-Happel-Stadion♦,"50,865",Europe,Austria,Vienna,,Austria national football team
Huntington Bank Stadium,"50,805",North America,United States,Minneapolis,,Minnesota Golden Gophers football
Estadio Cuauhtémoc,"50,754",North America,Mexico,Puebla,,Puebla FC
Strawberry Arena♦,"50,653",Europe,Sweden,Solna,,"Sweden men's national football team,AIK Fotboll"
Ülker Stadyumu,"50,509",West Asia,Turkey,Istanbul,,Fenerbahçe
Stanford Stadium,"50,424",North America,United States,"Palo Alto, California",,
Stade Pierre-Mauroy,"50,186",Europe,France,Villeneuve-d'Ascq,,Lille OSC
Stade Roi Baudouin♦,"50,122",Europe,Belgium,Brussels,,Belgium national football team
Shaanxi Province Stadium,"50,100",East Asia,China,"Xi'an,Shaanxi",,
Ajinomoto Stadium,"50,100",East Asia,Japan,"Chofu, Tokyo",,"FC Tokyo,Tokyo Verdy,Tokyo Sungoliath,Toshiba Brave Lupus Tokyo"
Estádio José Alvalade,"50,095",Europe,Portugal,Lisbon,,Sporting CP
Estádio do Dragão,"50,033",Europe,Portugal,Porto,,FC Porto
Casa de Apostas Arena Fonte Nova,"50,025",South America,Brazil,"Salvador, Bahia",,EC Bahia
Stade Olympique de Sousse,"50,000",Africa,Tunisia,Sousse,,Étoile du Sahel
RheinEnergieSTADION,"50,000",Europe,Germany,Cologne,,1. FC Köln
